Date,Open,High,Low,Close,Adj Close,Volume,Stock
2021-02-18,1605.949951,1605.949951,1548.0,1554.300049,1547.602051,7360280.0,HDFC
2021-02-19,1545.0,1564.199951,1533.0,1539.099976,1532.467407,8569754.0,HDFC
2021-02-22,1545.050049,1573.900024,1539.449951,1548.0,1541.329102,14725919.0,HDFC
2021-02-23,1553.75,1557.699951,1522.650024,1529.150024,1522.560425,9119953.0,HDFC
2021-02-24,1526.5,1613.949951,1516.25,1606.449951,1599.5272220000002,7157166.0,HDFC
2021-02-25,1609.75,1636.25,1602.0,1606.400024,1599.477417,10054785.0,HDFC
2021-02-26,1587.050049,1588.900024,1521.0,1534.400024,1527.78772,13956423.0,HDFC
2021-03-01,1564.0,1572.550049,1540.699951,1558.900024,1552.1821289999998,6768009.0,HDFC
2021-03-02,1575.699951,1587.5,1551.0,1568.199951,1561.442017,8055019.0,HDFC
2021-03-03,1584.0,1596.0,1565.0,1586.849976,1580.0117189999999,5611205.0,HDFC
2021-03-04,1548.550049,1571.0,1539.099976,1552.050049,1545.361694,8145719.0,HDFC
2021-03-05,1531.0,1545.599976,1521.099976,1530.0,1523.4067380000001,8722911.0,HDFC
2021-03-08,1542.0,1555.0,1512.5,1519.5,1512.951904,7558525.0,HDFC
2021-03-09,1545.0,1565.699951,1538.25,1562.5,1555.766602,7533348.0,HDFC
2021-03-10,1572.0,1575.0,1552.150024,1555.75,1549.045776,5527508.0,HDFC
2021-03-12,1600.0,1600.0,1535.050049,1551.949951,1545.262085,7815602.0,HDFC
2021-03-15,1548.400024,1548.400024,1515.300049,1528.650024,1522.0625,6115193.0,HDFC
2021-03-16,1530.900024,1540.400024,1510.0,1512.150024,1505.633667,6861183.0,HDFC
2021-03-17,1524.25,1539.0,1490.199951,1495.349976,1488.9060060000002,10532214.0,HDFC
2021-03-18,1511.75,1522.050049,1481.150024,1491.0,1484.574707,9032770.0,HDFC
2021-03-19,1485.0,1511.199951,1474.050049,1497.5,1491.0467529999999,10617510.0,HDFC
2021-03-22,1494.900024,1494.900024,1460.400024,1469.150024,1462.81897,7007816.0,HDFC
2021-03-23,1470.0,1507.449951,1469.099976,1500.150024,1493.685303,9880714.0,HDFC
2021-03-24,1490.900024,1506.449951,1471.0,1478.800049,1472.427368,8184450.0,HDFC
2021-03-25,1490.199951,1495.550049,1450.25,1463.349976,1457.043823,11982178.0,HDFC
2021-03-26,1494.0,1499.0,1474.0,1491.300049,1484.873535,6010629.0,HDFC
2021-03-30,1506.650024,1562.550049,1501.550049,1553.699951,1547.004517,12803822.0,HDFC
2021-03-31,1548.0,1548.0,1488.0,1493.650024,1487.2133789999998,15387253.0,HDFC
2021-04-01,1499.400024,1499.400024,1465.0,1486.75,1480.343018,17881881.0,HDFC
2021-04-05,1480.0,1485.0,1431.0,1449.599976,1443.353149,8003293.0,HDFC
2021-04-06,1460.0,1462.650024,1432.650024,1440.25,1434.043457,7537867.0,HDFC
2021-04-07,1439.300049,1456.699951,1421.550049,1447.199951,1440.963501,12544090.0,HDFC
2021-04-08,1453.0,1460.900024,1430.5,1432.800049,1426.62561,8806796.0,HDFC
2021-04-09,1426.0,1432.800049,1415.099976,1421.75,1415.623169,14078908.0,HDFC
2021-04-12,1393.0,1399.0,1353.0,1367.050049,1361.158936,11274564.0,HDFC
2021-04-13,1368.0,1406.449951,1361.0,1400.349976,1394.31543,9300341.0,HDFC
2021-04-15,1405.0,1436.699951,1391.0,1430.099976,1423.937134,17222492.0,HDFC
2021-04-16,1434.949951,1445.0,1423.5,1428.650024,1422.493408,7803263.0,HDFC
2021-04-19,1390.0,1417.699951,1372.300049,1412.400024,1406.313477,12034621.0,HDFC
2021-04-20,1425.0,1426.400024,1383.949951,1391.400024,1385.403931,11593135.0,HDFC
2021-04-22,1380.0,1426.800049,1371.050049,1422.5,1416.369995,19242656.0,HDFC
2021-04-23,1409.0,1434.599976,1400.199951,1414.150024,1408.055908,11356764.0,HDFC
